distribution,param_target_mean,param_mu_ln,param_sigma_ln,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"LogNormal(E≈14.0,σ_ln=0.22)",14.0,2.614608807496631,0.22112676056338026,13.850108182967464,3.2388415714344703,19.3,19.356742824760136,61.34325717523987,0.8528,428208.79071021965
"LogNormal(E≈14.0,σ_ln=0.23)",14.0,2.611725451019742,0.23380281690140847,13.988866584372092,3.4106565107686326,21.1,18.99706836052232,59.90293163947768,0.8784000000000001,428153.28025836276
"LogNormal(E≈14.0,σ_ln=0.25)",14.0,2.607099136796373,0.2528169014084507,14.069558870035543,3.5025237351169305,21.8,18.856846006687686,59.34315399331231,0.8784000000000001,422572.3393144682
"LogNormal(E≈14.0,σ_ln=0.27)",14.0,2.6038140743087714,0.2654929577464789,14.014917385426168,3.8897000860964646,20.5,19.117102426545248,60.382897573454756,0.8552,420191.91092117777
"LogNormal(E≈14.0,σ_ln=0.28)",14.0,2.598585201069335,0.28450704225352114,14.071491339437948,4.128173222949894,21.7,18.876889889262713,59.423110110737284,0.864,415608.667725699
"LogNormal(E≈14.0,σ_ln=0.30)",14.0,2.5948984325710214,0.2971830985915493,13.794057136833562,4.138600754197663,20.8,19.05710335761341,60.14289664238659,0.8584,419607.65513219935
"LogNormal(E≈14.0,σ_ln=0.32)",14.0,2.5890670003155165,0.31619718309859157,14.13865966679098,4.637710408668919,22.0,18.816746065029015,59.18325393497099,0.8528,407254.001962221
"LogNormal(E≈14.0,σ_ln=0.33)",14.0,2.5849785258064903,0.3288732394366197,13.970580443077035,4.7400593903112185,22.5,18.716424873416514,58.783575126583486,0.8592,406796.8291746641
"LogNormal(E≈14.0,σ_ln=0.35)",14.0,2.578544534534917,0.34788732394366195,14.202417122519774,4.867413363440729,23.0,18.61600110520247,58.38399889479753,0.8608,403758.15764618927
"LogNormal(E≈14.0,σ_ln=0.36)",14.0,2.5740543540151792,0.36056338028169016,13.968683387649813,5.1470359670864445,22.7,18.676267722246273,58.62373227775372,0.8552,403123.8137788022
"LogNormal(E≈14.0,σ_ln=0.37)",14.0,2.569403491091156,0.3732394366197183,14.01288722949434,5.472919598159422,21.7,18.876889889262713,59.423110110737284,0.8352,400088.3788015091
"LogNormal(E≈14.0,σ_ln=0.39)",14.0,2.5621259171970876,0.39225352112676054,13.777432641077988,5.846925418615367,21.4,18.936997262496714,59.663002737503284,0.8312,400195.33276771486
"LogNormal(E≈14.0,σ_ln=0.40)",14.0,2.557073348262352,0.40492957746478875,14.09434807709841,6.118257187155775,22.1,18.796689992791013,59.10331000720898,0.8200000000000001,388924.5440832295
"LogNormal(E≈14.0,σ_ln=0.42)",14.0,2.5491932153522154,0.423943661971831,13.903661542020764,5.872726955718354,21.9,18.836798067465658,59.26320193253435,0.8192,389980.65818956366
"LogNormal(E≈14.0,σ_ln=0.44)",14.0,2.543738940406768,0.4366197183098592,13.805009468864894,6.379604881937855,23.1,18.595903968413783,58.30409603158622,0.8408,392456.44165742636
"LogNormal(E≈14.0,σ_ln=0.46)",14.0,2.5352562484805627,0.4556338028169014,14.10745998128161,6.8385568812586985,22.1,18.796689992791013,59.10331000720898,0.8232,390637.4203528226
"LogNormal(E≈14.0,σ_ln=0.47)",14.0,2.5294002675244034,0.46830985915492956,14.088307209955238,6.946845683678074,22.3,18.75656561246782,58.94343438753218,0.8144,384452.3759479333
"LogNormal(E≈14.0,σ_ln=0.49)",14.0,2.52031501658213,0.48732394366197185,14.373945307080964,7.389270296094681,23.0,18.61600110520247,58.38399889479753,0.8216,383094.44972363976
