speed_pct,research_pct,scale_pct,research_value,scale_value,gross_research_times_scale,pnl_mult_0.1,pnl_mult_0.2,pnl_mult_0.3,pnl_mult_0.4,pnl_mult_0.5,pnl_mult_0.6,pnl_mult_0.7,pnl_mult_0.8,pnl_mult_0.9
5.3,22.11359237588382,72.58640762411618,136092.6912985416,5.081048533688132,691493.5695681265,19149.356956812655,88298.71391362531,157448.07087043792,226597.42782725062,295746.78478406323,364896.14174087584,434045.4986976885,503194.85565450124,572344.2126113138
5.4,22.094137122508094,72.5058628774919,136056.1991669248,5.075410401424432,690541.0484300844,19054.104843008434,88108.20968601687,157162.31452902532,226216.41937203374,295270.5242150422,364324.62905805063,433378.733901059,502432.83874406747,571486.9435870759
5.5,22.074678679682414,72.42532132031758,136019.67029018633,5.0697724924222305,689588.782865528,18958.878286552805,87917.75657310561,156876.6348596584,225835.51314621122,294794.391432764,363753.2697193168,432712.1480058696,501671.02629242244,570629.9045789753
5.6,22.055217043146044,72.34478295685396,135983.1045932671,5.064134806979777,688636.7731319356,18863.677313193562,87727.35462638712,156591.0319395807,225454.70925277425,294318.3865659678,363182.0638791614,432045.7411923549,500909.4185055485,569773.0958187421
5.7,22.035752208628015,72.26424779137199,135946.50200087664,5.058497345396039,687685.0194873118,18768.50194873118,87537.00389746236,156305.50584619356,225074.00779492472,293842.5097436559,362611.0116923871,431379.51364111825,500148.01558984944,568916.5175385807
5.8,22.01628417184708,72.18371582815293,135909.86243749192,5.052860107970705,686733.5221901891,18673.35221901891,87346.70443803782,156020.05665705673,224693.40887607564,293366.76109509455,362040.11331411346,430713.4655331323,499386.8177521513,568060.1699711703
5.9,21.996812928511638,72.10318707148835,135873.18582735656,5.047223095004184,685782.2814996291,18578.228149962917,87156.45629992583,155734.68444988874,224312.91259985167,292891.14074981457,361469.3688997775,430047.5970497404,498625.82519970334,567204.0533496663
6.0,21.97733847431975,72.02266152568025,135836.47209447974,5.041586306797617,684831.2976752258,18483.12976752258,86966.25953504516,155449.38930256772,223932.51907009032,292415.6488376129,360898.77860513545,429381.908372658,497865.03814018064,566348.1679077032
6.1,21.957860804959072,71.94213919504094,135799.72116263537,5.035949743652866,683880.5709771042,18388.05709771042,86776.11419542084,155164.17129313128,223552.2283908417,291940.2854885521,360328.34258626256,428716.39968397294,497104.4567816834,565492.5138793938
6.2,21.93837991610682,71.86162008389319,135762.93295536097,5.030313405872523,682930.1016659248,18293.010166592474,86586.02033318495,154879.03049977744,223172.0406663699,291465.0508329624,359758.0609995549,428051.0711661473,496344.0813327398,564637.0914993323
6.3,21.918895803429756,71.78110419657024,135726.10739595682,5.0246772937599165,681979.8900028841,18197.989000288406,86395.97800057681,154593.96700086523,222791.95600115362,290989.94500144204,359187.93400173046,427385.9230020188,495583.91200230725,563781.9010025957
6.4,21.89940846258412,71.70059153741587,135689.24440748474,5.0190414076191106,681029.9362497157,18102.993624971583,86205.98724994317,154308.9808749147,222411.97449988633,290514.96812485787,358617.9617498294,426720.955374801,494823.94899977266,562926.9426247441
