distribution,param_skew_a,param_skew_loc,param_skew_scale,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"SkewNormal(a=-7.6,loc=44.0,scale=7.0)",-7.555555555555555,44.0,7.0,38.71969665057774,4.166173913803671,44.8,14.122926610953652,41.07707338904635,0.888,250553.02143615187
"SkewNormal(a=-7.6,loc=48.0,scale=7.0)",-7.555555555555555,48.0,7.0,42.42793617851779,4.218195533333019,48.4,13.355400656877777,38.244599343122225,0.8832,222978.82659169968
"SkewNormal(a=-7.6,loc=52.0,scale=7.0)",-7.555555555555555,52.0,7.0,46.56612423363188,4.3257320893734725,52.7,12.426888600347592,34.8731113996524,0.8888,194205.27664844948
"SkewNormal(a=-7.6,loc=56.0,scale=7.0)",-7.555555555555555,56.0,7.0,50.28472165624784,4.454538085176222,56.6,11.572514735641453,31.82748526435855,0.888,167040.3360484105
"SkewNormal(a=-7.6,loc=60.0,scale=7.0)",-7.555555555555555,60.0,7.0,54.49836281050579,4.413291114866944,60.5,10.705114694182745,28.79488530581726,0.8824000000000001,139611.86989935415
"SkewNormal(a=-7.6,loc=64.0,scale=7.0)",-7.555555555555555,64.0,7.0,58.461597500408025,4.381697060929797,64.4,9.823033712434944,25.776966287565045,0.8792,113737.16421594922
"SkewNormal(a=-7.6,loc=68.0,scale=7.0)",-7.555555555555555,68.0,7.0,62.633098994091064,4.154186807864193,68.2,8.947475969473093,22.852524030526908,0.876,89509.74513294801
"SkewNormal(a=-6.4,loc=32.0,scale=7.0)",-6.444444444444445,32.0,7.0,26.285466168335894,4.09362731784596,32.4,16.70777750450566,50.892222495494345,0.884,342225.68680543767
"SkewNormal(a=-6.4,loc=36.0,scale=7.0)",-6.444444444444445,36.0,7.0,30.38820588128479,4.361509190236508,37.2,15.717166884488593,47.082833115511406,0.8968,310747.2975548795
"SkewNormal(a=-6.4,loc=40.0,scale=7.0)",-6.444444444444445,40.0,7.0,34.420275794384985,4.495724331709992,40.8,14.96617027895571,44.23382972104429,0.888,280115.7778364827
"SkewNormal(a=-6.4,loc=44.0,scale=7.0)",-6.444444444444445,44.0,7.0,38.34223677494036,4.49038994873858,44.7,14.144126919344583,41.15587308065541,0.884,249927.75173135166
